"region","District","PO.Name","Unit.Name","Property.ID","Property.Address","City","ST","ZIP.Code","Occupied","Maint","Eff.Date","Exp.Date","Bldg.Own","Land.Own","Tax.Clause","Purchase.Option","LO.Nbr","LO.Years","Lessor.Name","Lessor.Address1","Lessor.Address2","Lessor.Address3","Lessor.City","Lessor.St","Lessor.ZIP","Int.Sq.Ft","Site.Sq.Ft","Annual.Rent","Rent.Sq.Ft","Next.Rent","Next.Rent...Sq.Ft","LeaseMktComparisonToAvg","Population","city","state","latitude","longitude","Full.Addr"
"1","73002","Oklahoma","ALEX","MAIN OFFICE",390176001,"111 S MAIN ST","ALEX","OK","73002-9998","Feb-63","Landlord",2013-02-01,2018-01-31,"P","P","None Specified","",1,5,"ELEANOR NEWCOMB","29229 ROAD 400","","","MADERA","CA","936368132",1257,7000,5592,4.45,6156,4.9,-3.09305177111717,994,"Alex","OK",34.936221,-97.74453,"111 S MAIN ST,ALEX,OK,73002-9998"
"2","73004","Oklahoma","AMBER","MAIN OFFICE",390264001,"402 E MAIN ST","AMBER","OK","73004-9998","Mar-76","Landlord",2016-03-01,2021-02-28,"A","A","Reimbursable","",1,5,"CHRISSCOTT II LLC","5623 N WESTERN AVE STE B","","","OKLAHOMA CITY","OK","731184007",1067,16800,10200,9.56,10668,10,2.01694822888283,677,"Amber","OK",35.152892,-97.85582,"402 E MAIN ST,AMBER,OK,73004-9998"
"3","73006","Oklahoma","APACHE","MAIN OFFICE",390319001,"302 E EVANS AVE","APACHE","OK","73006-9998","Jan-61","USPS",2016-01-01,2020-12-31,"P","P","None Specified","",1,5,"DAN FANKHAUSER","VIVIAN F FANKHAUSER","PO BOX 579","","GARDEN CITY","KS","678460579",2413,7483,13272,5.5,14478,6,-2.04305177111717,3775,"Apache","OK",34.894964,-98.38697,"302 E EVANS AVE,APACHE,OK,73006-9998"
"4","73009","Oklahoma","BINGER","MAIN OFFICE",390748001,"224 W MAIN ST","BINGER","OK","73009-9998","Sep-62","Landlord",2012-09-15,2017-09-14,"P","P","None Specified","",NA,NA,"CHARLES LIEBERT TRUST PO LLC","C/O WILLOW LIEBERT","PO BOX 45086","","PHOENIX","AZ","850645086",2218,6860,11090,5,0,0,-2.54305177111717,1348,"Binger","OK",35.292476,-98.35804,"224 W MAIN ST,BINGER,OK,73009-9998"
"5","73014","Oklahoma","CALUMET","MAIN OFFICE",391331001,"105 E MAIN ST","CALUMET","OK","73014-9998","Jul-67","USPS (Not Roof)",2007-07-01,2017-06-30,"B","B","Reimbursable","N",NA,NA,"CORRAL CREEK LLC","PO BOX 1023","","","VAIL","CO","816581023",1624,7000,13968,8.6,0,0,1.05694822888283,1424,"Calumet","OK",35.587497,-98.14506,"105 E MAIN ST,CALUMET,OK,73014-9998"
"6","73015","Oklahoma","CARNEGIE","MAIN OFFICE",391463001,"14 N BROADWAY ST","CARNEGIE","OK","73015-9998","Nov-57","Landlord",2012-11-01,2017-10-31,"B","B","None Specified","",1,5,"CARNEGIE LODGE 294","PO BOX 537","","","CARNEGIE","OK","730150537",3618,6894,7986,2.21,8784,2.43,-5.33305177111717,2752,"Carnegie","OK",35.113271,-98.58643,"14 N BROADWAY ST,CARNEGIE,OK,73015-9998"
"7","73016","Oklahoma","CASHION","MAIN OFFICE",391540001,"109 S MAIN ST","CASHION","OK","73016-9998","Aug-67","Landlord",2015-08-01,2020-07-31,"A","A","None Specified","",NA,NA,"LUCY BEUTLER LENHART","REVOCABLE LVG TRUST","PO BOX 146","","KINGFISHER","OK","737500146",966,5436,6896,7.14,0,0,-0.403051771117166,1618,"Cashion","OK",35.805831,-97.68754,"109 S MAIN ST,CASHION,OK,73016-9998"
"8","73017","Oklahoma","CEMENT","MAIN OFFICE",391584001,"406 N MAIN ST","CEMENT","OK","73017-9998","Jan-64","Landlord",2009-01-01,2018-12-31,"A","A","Reimbursable","",1,5,"THOMAS A MEIER","175 BIRCH BLVD STE A","","","SEDONA","AZ","863365635",1662,5662,14900,8.97,16380,9.86,1.42694822888283,1796,"Cement","OK",34.932493,-98.11946,"406 N MAIN ST,CEMENT,OK,73017-9998"
"9","73021","Oklahoma","COLONY","MAIN OFFICE",391969001,"50 N WATAN AVE","COLONY","OK","73021-9800","Jan-61","Landlord",2015-01-01,2019-12-31,"P","P","None Specified","",1,5,"JERRY WEICHEL","KATHY WEICHEL","RR1 BOX 1","","COLONY","OK","730219701",617,4545,4620,7.49,5100,8.27,-0.0530517711171656,320,"Colony","OK",35.34525,-98.66403,"50 N WATAN AVE,COLONY,OK,73021-9800"
"10","73024","Oklahoma","CORN","MAIN OFFICE",392090001,"208 W MAIN","CORN","OK","73024-9998","May-52","Landlord",2012-05-01,2017-04-30,"P","P","None Specified","",1,5,"KENNETH KRAUSE AND","CHARLIE ESKEW","700 S HOFF","","EL RENO","OK","730363825",772,1978,3860,5,4671,6.05,-2.54305177111717,618,"Corn","OK",35.370775,-98.80897,"208 W MAIN,CORN,OK,73024-9998"
"11","73028","Oklahoma","CRESCENT","MAIN OFFICE",392200001,"115 N GRAND ST","CRESCENT","OK","73028-9998","Feb-62","Landlord",2012-02-01,2017-01-31,"P","P","None Specified","",1,5,"JHCH PROPERTIES LLC","4527 E 91ST ST","","","TULSA","OK","741372810",2551,7000,16144,6.33,17788,6.97,-1.21305177111717,3272,"Crescent","OK",35.96375,-97.63071,"115 N GRAND ST,CRESCENT,OK,73028-9998"
